country_name,Average_GDP,Average_GDP_Growth(%),Average_Exports,Average_Imports,Average_Trade_Balance(USD),Average_Trade_to_GDP(%),Log_GDP,Log_Trade
Afghanistan,14151970481,3.51503202,0,0,0,0,23.26229849,0
Albania,11262654750,8.145169955,3178483502,5287413230,-2108929728,73.82718864,23.05410985,22.74720402
Algeria,1.44E+11,6.505825409,47802180220,41904046962,5898133257,62.37874562,25.61373039,25.13417564
American Samoa,601100000,0.349124547,453521086.2,631880445.6,-178359359.3,183.0108818,20.2079365,20.80171344
Andorra,3029495937,4.348425498,0,0,0,0,21.79999279,0
Angola,67423312087,15.50615872,34635033067,24065864912,10569168155,92.77080135,24.69580513,24.57309468
Antigua and Barbuda,1238369082,3.605207826,974550937.4,901189557.4,73361379.96,154.0261888,20.9113717,21.33386508
Argentina,4.00E+11,6.648824416,65908338050,59183760509,6724577541,32.82336906,26.60251433,25.46847811
Armenia,9176260685,5.91280515,2779521168,4224600870,-1445079702,74.0509446,22.76851487,22.45642037
Aruba,2618521874,1.859635143,1798040447,1942782946,-144742498.9,142.4607991,21.67273852,22.0241943
Australia,1.08E+12,6.927798132,2.32E+11,2.28E+11,3671402465,42.09156597,27.61333587,26.74674288
Austria,3.75E+11,4.169336724,1.96E+11,1.85E+11,11341828163,99.63447496,26.61951075,26.61189507
Azerbaijan,40646607954,7.52379546,20875874539,12562253065,8313621474,87.16715294,24.13114531,23.98176241
"Bahamas, The",10544578261,2.365476231,3780843478,4393330435,-612486956.5,77.52247108,23.07016484,22.81078708
Bahrain,26148142889,7.538654404,21710508969,17682733481,4027775488,147.1807352,23.87910929,24.25768408
Bangladesh,1.77E+11,10.02675869,24979127204,35852492144,-10873364940,35.63048168,25.64496469,24.59455479
Barbados,4396586809,2.85559694,1726414124,2014022642,-287608517.7,85.60305492,22.18870932,22.02859303
Belarus,49170918318,9.026677111,31169943922,31844931531,-674987608.9,129.3136455,24.48348495,24.73608195
Belgium,4.55E+11,4.273489749,3.60E+11,3.53E+11,7291304348,154.3546711,26.81077572,27.24096832
Belize,1863394862,4.289469194,922553741.2,918233834,4319907.13,98.30412044,21.31435132,21.29451926
Benin,10291217848,7.543810402,2426224898,2950591865,-524366966.8,50.50984451,22.95715544,22.26229839
Bermuda,6100021739,3.612173153,3083564409,1481114323,1602450086,74.81225949,22.50609493,22.21559192
Bhutan,1510240200,6.699174806,552420760.2,870361773.6,-317941013.4,94.91571596,20.99344151,20.9298702
Bolivia,23892558356,7.701387653,7715201299,7909463334,-194262034.5,64.90215076,23.72230496,23.2689624
Bosnia and Herzegovina,15841204788,7.134416515,5267667467,8787206141,-3519538674,87.26219388,23.40941867,23.26975431
Botswana,12537554693,6.299263792,5914662064,6000984026,-86321962.57,94.68605998,23.18743196,23.12527004
Brazil,1.58E+12,6.062422654,2.13E+11,2.17E+11,-3543396919,27.32551416,27.97365298,26.66551541
British Virgin Islands,0,0,0,0,0,,0,0
Brunei Darussalam,12300565328,5.721774676,8233301315,4781395355,3451905960,104.9656279,23.17189821,23.21150824
Bulgaria,48916604303,9.16358341,28152455822,29597669224,-1445213402,111.3466709,24.4917957,24.58258917
Burkina Faso,10814346574,8.7841203,2243681205,3202684620,-959003415.1,46.44309932,22.96682016,22.16672607
Burundi,1973301126,6.006054179,134854076.9,507335641,-372481564.1,32.47408874,21.30259835,20.14175072
Cabo Verde,1617868877,7.348960365,581874804.4,923900670.7,-342025866.3,93.99855308,21.11372879,21.04686936
Cambodia,14331796583,9.732566425,8913045684,9556730638,-643684953.1,126.7320674,23.18394853,23.41653728
Cameroon,28667840100,6.756371483,6039924388,6713420578,-673496190.3,45.38481316,23.99857786,23.20067142
Canada,1.48E+12,5.085677394,4.84E+11,4.85E+11,-582652173.9,66.89080296,27.97534754,27.56987074
Cayman Islands,4816765171,0.216716077,3307958767,2170513335,1137445432,113.7542339,22.28979469,22.41850526
Central African Republic,1815604155,4.847897671,261699231.6,504403770.5,-242704538.9,41.74258888,21.27366243,20.38314874
Chad,8938218416,11.51385568,3302678713,3729562512,-426883798.8,79.86494384,22.74464972,22.50424211
Chile,2.04E+11,6.706007948,68606165936,64568152299,4038013637,65.87830067,25.93084093,25.50798184
China,7.89E+12,12.74521149,1.77E+12,1.55E+12,2.14E+11,46.2041128,29.36867906,28.57704854
Colombia,2.49E+11,6.322990787,41828149680,52304804595,-10476654915,37.19149608,26.13900935,25.14644803
Comoros,900941095.3,5.995386614,89448938.31,261621478.4,-172172540.1,38.28559317,20.55559707,19.59182132
"Congo, Dem. Rep.",28518689515,7.041018623,9268638856,10446674355,-1178035500,63.69306281,23.89512094,23.38489584
"Congo, Rep.",10545903616,8.591860995,6747669231,5611806548,1135862683,121.9315152,22.93864865,23.12812155
Costa Rica,41012784171,6.979973923,14330300705,14590745783,-260445078.6,74.05412572,24.30960327,24.00014531
Cote d'Ivoire,39641410894,6.683907413,10907492121,10439561522,467930598.7,55.8483755,24.30774167,23.71489546
Croatia,52579989557,5.742028963,22188555614,24268853344,-2080297730,86.93074942,24.63939851,24.49052522
Cuba,65483366975,3.997045789,11878198218,10960362890,917835327.5,35.58394152,24.83283209,23.74789566
Curacao,2938579843,0.100330246,1939699417,2557370111,-617670694,153.0035463,21.8003404,22.22322316
Cyprus,21865723009,2.559400673,14224294382,14519179760,-294885378.4,130.2575272,23.76568695,24.0169478
Czechia,1.89E+11,7.501208572,1.32E+11,1.25E+11,7340593715,130.4069265,25.88658899,26.13921242
Denmark,3.05E+11,4.192111456,1.63E+11,1.44E+11,19234133251,98.60897896,26.41339375,26.39302993
Djibouti,1705136119,8.741126228,2452362707,2384684820,67677886.4,284.9036586,21.05145427,22.094009
Dominica,470271014.5,2.892311495,179894692.9,273294322.2,-93399629.21,96.02830651,19.94989502,19.90636659
Dominican Republic,57621961327,7.760431499,14175885334,18309301653,-4133416319,59.9853745,24.66695181,24.14213025
Ecuador,72925270212,8.641539274,18863369919,19448052006,-584682087.7,53.43427591,24.88793856,24.2499868
"Egypt, Arab Rep.",2.27E+11,7.753376152,39214205034,55587560062,-16373355029,45.50959753,25.99469356,25.17774425
El Salvador,20177464117,4.610408106,5609680591,9555001222,-3945320630,74.09043328,23.68642227,23.38362398
Equatorial Guinea,12017736501,14.81905547,8291674486,5221799901,3069874585,111.5436372,22.94125591,23.04345987
Eritrea,1223860748,3.581421227,99588313.15,523313883,-423725569.8,53.36981263,20.89413528,20.2355524
Estonia,21680263577,9.363860114,16100269942,16010700712,89569230.83,143.6152207,23.68157828,24.03747793
Eswatini,3680882520,5.484792994,1816120118,1953145850,-137025731.8,110.4345057,21.96904335,22.03502938
Ethiopia,48042296916,13.18687295,4386617140,11151865765,-6765248624,34.69909325,24.217862,23.14561998
Faroe Islands,2374113479,4.235835954,1191878669,1283915070,-92036400.6,104.0344613,21.53784048,21.57589794
Fiji,3725471375,5.355012848,1857618549,2240782488,-383163938.6,113.3481592,21.97810589,22.09239207
Finland,2.36E+11,3.905752593,92659688987,89120434196,3539254791,76.25290844,26.16065622,25.88673684
France,2.45E+12,3.480778377,7.08E+11,7.29E+11,-20936782609,58.20969161,28.50202879,27.95738625
French Polynesia,5652706617,2.313776342,876579605.1,1967765738,-1091186132,49.89576484,22.44131407,21.7378255
Gabon,13435118215,7.371207192,7381123189,3511993989,3869129200,82.1022521,23.23713284,23.03515677
"Gambia, The",1339981840,6.467894172,222528650,419251631.1,-196722981.1,49.38865285,20.95063273,20.23268602
Georgia,12426977359,5.179694632,4987393500,6995513516,-2008120016,90.35696947,23.0816728,22.96691471
Germany,3.33E+12,3.541900911,1.44E+12,1.26E+12,1.79E+11,79.00452027,28.81057793,28.56575162
Ghana,39053440876,14.14843988,12051791977,14507048070,-2455256093,77.31997456,24.06819331,23.78001733
Gibraltar,0,0,0,0,0,,0,0
Greece,2.31E+11,2.869774255,64243564963,80807893203,-16564328239,63.55642244,26.13517673,25.65942265
Greenland,2345473093,4.054651829,891235391.7,1303945199,-412709807.7,93.73231603,21.52944611,21.4589968
Grenada,852686008,4.098866642,0,0,0,0,20.52772444,0
Guam,5075850000,0.469501055,917369509.7,2750198764,-1832829255,72.14601366,22.33359735,22.00473129
Guatemala,48964259588,7.311696941,10415868510,16313256790,-5897388280,57.97572894,24.49114878,23.93252905
Guinea,8083515090,9.864499378,2753594798,4279038063,-1525443266,78.18000769,22.65084821,22.37497182
Guinea-Bissau,957874693.4,7.061071559,197605107,292387296,-94782189.04,50.08954833,20.58128466,19.88176106
Guyana,3810287557,18.61808944,3499616154,4040156518,-540540363.8,197.8846632,21.74191463,22.42432895
Haiti,12005910848,5.537003203,1112560142,3530955577,-2418395435,37.44807469,23.13118363,22.13668407
Honduras,16985250990,6.791771565,7742196515,11019582599,-3277386083,114.5179926,23.4603784,23.58815607
"Hong Kong SAR, China",2.58E+11,3.355663132,4.82E+11,4.71E+11,11158434783,360.1838395,26.234593,27.50287908
Hungary,1.28E+11,6.561800124,1.01E+11,98327638379,2800606008,152.446893,25.52081533,25.93514565
Iceland,17637431456,5.944234495,7508836208,7391873543,116962665,83.74148594,23.53847295,23.35187269
India,1.71E+12,9.310988451,3.55E+11,4.11E+11,-56261468342,42.874181,27.99676337,27.12796727
Indonesia,6.98E+11,9.978046982,1.65E+11,1.54E+11,11365338134,50.19114879,27.07911504,26.36961024
"Iran, Islamic Rep.",3.50E+11,7.35255214,83589884290,75536493459,8053390831,46.19346452,26.46742828,25.68894208
Iraq,1.42E+11,10.65424041,58729752349,45675269829,13054482519,85.44712574,25.44953977,25.24898385
Ireland,2.73E+11,7.89756622,3.02E+11,2.48E+11,54048481586,191.2539663,26.24655866,26.87985131
Isle of Man,5187908009,6.098269903,0,0,0,0,22.26201896,0
Israel,2.68E+11,6.251170731,86421381342,82123592508,4297788833,65.56285988,26.21624556,25.78639537
Italy,1.92E+12,2.82854871,5.39E+11,5.20E+11,18938956522,54.66566122,28.2669767,27.65675835
Jamaica,13050751762,3.049607524,4381804632,6739516090,-2357711458,85.65037001,23.27594813,23.11447044
Japan,4.98E+12,-0.377061349,7.49E+11,7.38E+11,11020173913,29.72783842,29.23111087,27.99787376
Jordan,28012334007,7.988069557,11981345200,18703378762,-6722033562,114.5898716,23.90216157,24.02645268
Kazakhstan,1.34E+11,6.476280775,53917277677,40146818174,13770459503,77.10884254,25.37837885,25.09687715
Kenya,54198566757,10.29944156,8403695949,13754500833,-5350804884,46.88016717,24.47639916,23.69003499
Kiribati,149966381,5.851138496,21437400.35,141117426.7,-119680026.3,108.8686084,18.76414445,18.84408172
"Korea, Dem. People's Rep.",0,0,0,0,0,,0,0
"Korea, Rep.",1.22E+12,5.087581748,5.16E+11,4.78E+11,38265086957,79.75069591,27.76862684,27.52787607
Kuwait,1.13E+11,8.974722009,69801725691,37861254439,31940471252,93.72492207,25.34310502,25.27659682
Kyrgyz Republic,5467258320,10.15594051,2218409765,3977362589,-1758952824,110.4226783,22.25216634,22.33252075
Lao PDR,9587254108,10.58297585,3266789518,4658943811,-1392154293,79.59549443,22.66485944,22.42850255
Latvia,25880681345,8.357367013,14130075761,15622370137,-1492294375,109.5657797,23.87730998,23.95389394
Lebanon,34590455762,4.339432284,9054477209,17835499351,-8781022142,77.29953642,24.1920472,23.90766275
Lesotho,1945556485,5.595804049,857886283.2,1921791753,-1063905470,143.570343,21.33123947,21.69090292
Liberia,2268958424,7.391680934,0,0,0,0,21.39739571,0
Libya,55136294721,5.030952235,28156266128,16968228069,11188038060,79.29856399,24.66832801,24.39497745
Liechtenstein,5048408234,3.711757955,0,0,0,0,22.2919658,0
Lithuania,39724434819,8.915666803,27315868233,27732119093,-416250859.4,130.0003758,24.2970754,24.54184837
Luxembourg,54729395464,6.445008125,98316081847,81389153688,16926928160,315.5148315,24.6522299,25.79175548
"Macao SAR, China",29187557672,7.48423782,24386185813,12153818412,12232367401,131.9977573,23.87523551,24.14382226
Madagascar,10122259181,5.908672798,2561850729,3424529528,-862678798.9,57.36446271,22.97204608,22.40069996
Malawi,8103442460,9.213503223,0,0,0,0,22.7297959,0
Malaysia,2.50E+11,7.013688023,2.02E+11,1.73E+11,29077917620,162.63386,26.14040016,26.60672716
Maldives,2983918003,11.61520196,2155531763,2244795273,-89263509.67,147.3332586,21.62082668,22.00693437
Mali,11220442202,8.690874506,2840771288,4044515209,-1203743922,60.08342692,23.0061686,22.49378274
Malta,10094417528,6.581781869,15305421694,14540170519,765251174.6,282.4320579,22.94729173,23.97481207
Marshall Islands,177055073.9,3.974407868,66981458.68,163243225.9,-96261767.25,129.3004116,18.96112743,19.20995045
Mauritania,5541698725,8.499800952,2175350984,2924178226,-748827242.2,85.68482149,22.30025065,22.12484714
Mauritius,9961792777,4.990392075,5104266633,5783739223,-679472590.7,111.4575106,22.95950052,23.06305497
Mexico,1.06E+12,3.489056851,3.44E+11,3.60E+11,-15592130435,64.44922834,27.66875299,27.2119532
"Micronesia, Fed. Sts.",310735944.3,2.722541856,78595669.57,234240591.3,-155644921.7,100.3959584,19.53433069,19.53578392
Moldova,7053564216,11.86598658,2444430530,4591845496,-2147414966,109.3050397,22.45440926,22.52401323
Monaco,5568611549,4.302549507,0,0,0,0,22.39335372,0
Mongolia,8241128105,13.71177452,4473258158,5082999100,-609740942,116.2568659,22.51631939,22.66203637
Montenegro,3803209192,9.049280917,1552922488,2529735332,-976812844.5,105.068045,21.94426874,21.98639426
Morocco,97420479248,5.367747528,30407507885,39388612467,-8981104582,68.93357395,25.24462497,24.86073844
Mozambique,12128783467,5.814527971,3590030963,7143827420,-3553796457,82.97387217,23.15247635,22.93053149
Myanmar,40215449560,11.03432879,9372076367,9982731941,-610655573.8,46.4948097,24.08481848,23.24062375
Namibia,9664768716,6.177957764,3879586134,5224101616,-1344515482,94.04803422,22.91320598,22.84375817
Nauru,105868137.6,3.630661938,70401848.69,91632325.97,-21230477.28,152.2970185,18.45302551,18.86304514
Nepal,19329174400,9.462561545,1793583929,6894895374,-5101311445,45.53043116,23.48866596,22.69716952
Netherlands,7.88E+11,4.153105446,5.93E+11,5.22E+11,70602304348,138.9291056,27.36514627,27.68611284
New Caledonia,8035172435,4.444801375,1593368952,3410343040,-1816974088,61.93649337,22.75294044,22.27175628
New Zealand,1.56E+11,7.518007302,43771403785,43053863432,717540352.8,57.29206351,25.68268171,25.12134384
Nicaragua,9741451574,5.12589583,3802693858,5450943418,-1648249561,90.20716598,22.93554462,22.80981586
Niger,8300378692,8.60907936,1093461580,2283529242,-1190067662,39.86035882,22.69368983,21.764025
Nigeria,3.33E+11,9.749288679,63361361139,48513772686,14847588454,35.87221905,26.36639163,25.29807321
North Macedonia,9209121088,6.099240394,4524375404,6102890248,-1578514843,107.494266,22.87049932,22.9151032
Northern Mariana Islands,1019684211,0.998162822,646792805.6,658184407.6,-11391601.93,125.3200709,20.72253601,20.92636144
Norway,3.86E+11,6.230204286,1.59E+11,1.13E+11,46512448553,70.3566804,26.62449925,26.27171563
Oman,62206212676,9.118937496,34906214638,25601553328,9304661310,97.66068844,24.70820653,24.68186919
Pakistan,2.13E+11,7.139437584,23705290645,39554852200,-15849561555,29.98963839,25.96531992,24.75510896
Palau,214044363.6,1.9144916,0,0,0,0,19.1593832,0
Panama,38561048945,8.566915126,23355734746,25718869385,-2363134639,130.7468283,24.19235146,24.4477532
Papua New Guinea,15478446943,10.96666143,10342373375,8434527217,1907846158,121.2906591,23.21377657,23.40657309
Paraguay,26547983958,7.883668852,10149418680,9247400131,902018549.1,74.98570202,23.83610909,23.54515831
Peru,1.49E+11,7.257917792,37922971516,35355992291,2566979225,47.6333009,25.59775175,24.84477782
Philippines,2.30E+11,7.331482929,69475482277,84103324568,-14627842291,70.33495427,26.0206378,25.65729701
Poland,4.46E+11,6.710150201,2.04E+11,2.04E+11,866404344.3,86.16242812,26.74865374,26.58082622
Portugal,2.12E+11,3.67083096,75942933824,84329502958,-8386569134,74.42284965,26.05893877,25.75439246
Puerto Rico,93643279578,2.730317602,59549221739,41706300000,17842921739,108.5399409,25.25106075,25.3314303
Qatar,1.21E+11,13.62072898,73912696130,39920898949,33991797181,92.9205175,25.24259149,25.16747576
Romania,1.69E+11,10.43208757,60227280472,69609355386,-9382074914,71.78335978,25.69679685,25.34717611
Russian Federation,1.35E+12,5.8348578,3.92E+11,2.78E+11,1.14E+11,51.87059619,27.76434046,27.10193892
Rwanda,6497116795,8.73123577,1027045775,2016437401,-989391626.2,41.80197765,22.4256351,21.52374831
Samoa,654311076.8,5.437187457,178884456.1,320835264.7,-141950808.6,76.83276667,20.22643225,19.96009523
San Marino,1659326031,2.749807481,2835495399,2428187632,407307766.7,317.0695004,21.21005199,22.36379536
Sao Tome and Principe,269575018.2,6.127680933,0,0,0,0,19.26047257,0
Saudi Arabia,5.66E+11,8.809631091,2.44E+11,1.62E+11,81373267102,73.23612926,26.93194244,26.60548664
Senegal,16630556010,7.161807686,3623365396,6390669920,-2767304524,58.0979915,23.44739915,22.89788597
Serbia,40119181849,11.8832749,16124585633,20918790608,-4794204975,84.78484773,24.30942824,24.0916651
Seychelles,1138469191,4.558923486,1063470046,1186697329,-123227283.1,193.8322876,20.81564787,21.46924176
Sierra Leone,2945530950,9.399037435,595542777.2,1233986770,-638443993,57.13235747,21.67372187,21.07840176
Singapore,2.49E+11,7.457402248,4.74E+11,4.04E+11,69247391304,361.8353768,26.11579135,27.39716039
Sint Maarten (Dutch part),1228351955,1.54418049,1194302656,1224799097,-30496440.6,197.5078486,20.92328024,21.60144828
Slovak Republic,83625387862,6.665939463,71050760325,70653408672,397351653,162.2747186,25.0790119,25.5496702
Slovenia,44614610092,5.437298369,32073504020,30488366183,1585137837,135.4766639,24.47710683,24.76815191
Solomon Islands,1016587991,6.309330502,361298917.4,469010426.5,-107711509.1,77.51097453,20.61871142,20.33656596
Somalia,6105810562,1.506073001,1146935112,5031110038,-3884174926,100.9287706,22.52579164,22.53462086
South Africa,3.28E+11,5.418533154,90652838449,88621492372,2031346077,53.90614458,26.45972403,25.83697123
South Sudan,14080606756,0.976345065,6661036127,4373548223,2287487904,78.61116181,23.36470551,23.11578098
Spain,1.24E+12,4.205406911,3.76E+11,3.77E+11,-1032304348,60.45477965,27.81473215,27.30508109
Sri Lanka,56987914260,7.384339619,13400016417,17561358978,-4161342561,60.62506097,24.5848026,24.05753094
St. Kitts and Nevis,780656187.9,3.917164387,0,0,0,0,20.43424147,0
St. Lucia,1500428684,3.914276763,0,0,0,0,21.09417608,0
St. Martin (French part),774398807.1,3.16E-05,0,0,0,0,20.4675974,0
St. Vincent and the Grenadines,715244753.5,3.595021788,0,0,0,0,20.36449166,0
Sudan,52651705855,11.10186705,5280879131,7174974340,-1894095209,24.09808399,24.51515631,22.94983495
Suriname,3222623895,7.470270402,1676879530,1460718032,216161497.5,97.5188176,21.76384146,21.7380666
Sweden,4.77E+11,4.034200112,2.15E+11,1.93E+11,21534835173,84.91247315,26.85681473,26.6911087
Switzerland,5.83E+11,4.918924304,3.73E+11,3.21E+11,52032565217,115.1980838,27.04158289,27.17579723
Syrian Arab Republic,89712717801,27.66812898,29067520497,30623924303,-1556403806,60.86625959,24.80737682,24.29008107
Tajikistan,5634163729,12.28831231,1275852878,3111776864,-1835923986,95.57064145,22.22762209,22.10185004
Tanzania,37904144966,8.015110445,6332534156,8162988451,-1830454295,38.42983566,24.2061759,23.22219699
Thailand,3.35E+11,6.408707104,2.18E+11,1.99E+11,18645910572,125.0401445,26.43369842,26.65369529
Timor-Leste,1234049140,10.92946748,212926436.4,986096819.1,-773170382.7,109.6429669,20.70634379,20.73663553
Togo,4982040860,6.514272413,1310980134,1857935041,-546954907.1,63.0356721,22.24484557,21.7751204
Tonga,360296015.4,2.997926794,63429762.81,216981269.6,-153551506.8,75.9616257,19.65027121,19.36824365
Trinidad and Tobago,20961128963,6.439227301,0,0,0,0,23.69922773,0
Tunisia,39677485137,3.643717751,17590532555,20474976514,-2884443958,94.83049255,24.37341829,24.31646684
Turkiye,6.77E+11,3.15793148,1.76E+11,1.95E+11,-18253596835,53.35585532,27.15434548,26.51447117
Turkmenistan,24021051251,11.55572798,9039323124,8746083776,293239348.3,74.77779056,23.61163201,23.27427859
Turks and Caicos Islands,791563116.9,3.347096202,0,0,0,0,20.4365271,0
Tuvalu,35205109.65,6.648740008,0,0,0,0,17.29386874,0
Uganda,23091795510,9.967689893,3458213946,5565946430,-2107732484,39.33458345,23.65876089,22.71702699
Ukraine,1.22E+11,9.396313602,55044832001,61075619249,-6030787248,97.05378334,25.41368695,25.37954029
United Arab Emirates,3.00E+11,7.855950625,2.60E+11,1.94E+11,66125027879,143.2680017,26.32084619,26.66365992
United Kingdom,2.61E+12,3.034986469,7.36E+11,7.81E+11,-44413000000,57.72095498,28.57312049,28.0198768
United States,1.63E+13,4.073338788,1.90E+12,2.49E+12,-5.92E+11,26.68343232,30.39207108,29.06642065
Uruguay,42209759814,6.260141428,11124611036,10369928194,754682841,51.2625677,24.31679019,23.63743791
Uzbekistan,46238113818,9.342423467,10809898735,13803079353,-2993180618,58.14098764,24.30542021,23.72481456
Vanuatu,644919271.1,6.007898752,260416410.3,348560269.8,-88143859.45,95.09019154,20.19759411,20.13466732
"Venezuela, RB",2.45E+11,5.474899578,67908595955,55085615075,12822980879,50.56051492,26.12451797,25.43827117
Vietnam,1.78E+11,12.16278703,1.32E+11,1.32E+11,583712175.4,139.5080482,25.59511465,25.91860974
Virgin Islands (U.S.),4004210526,0.252604414,7071087009,7195047346,-123960337.7,346.5108153,22.1068977,23.15254257
West Bank and Gaza,10625204348,7.060492153,1677882609,6054113043,-4376230435,75.01094206,22.93959036,22.64684634
"Yemen, Rep.",24749915342,5.009838017,4739103092,9342072913,-4602969821,57.01361041,23.84159229,23.27509219
Zambia,17545623319,11.24830482,6540822006,6102449309,438372696.4,69.7549926,23.40427076,23.03731674
Zimbabwe,14278441694,9.083292594,3759570914,5207309119,-1447738205,68.44916173,23.19566209,22.79544201
